,make,model,class,car,body,budget
0,Dacia,Sandero,hatchback 1,Dacia Sandero,hatchback,1
1,Dacia,Logan,sedan 1,Dacia Logan,sedan,1
2,Dacia,Logan,kombi 1,Dacia Logan,kombi,1
3,Dacia,Duster,kombi 1,Dacia Duster,kombi,1
4,Dacia,Lodgy,minivan 2,Dacia Lodgy,minivan,2
5,Dacia,Duster,SUV 1,Dacia Duster,SUV,1
6,Dacia,Duster,crossover 1,Dacia Duster,crossover,1
7,Dacia,Sandero Stepway,crossover 1,Dacia Sandero Stepway,crossover,1
8,Dacia,Logan,coupe 1,Dacia Logan,coupe,1
9,Dacia,Dokker Van,dostawczy 1,Dacia Dokker Van,dostawczy,1
10,Dacia,Duster,pickup 1,Dacia Duster,pickup,1
11,Skoda,Fabia,hatchback 1,Skoda Fabia,hatchback,1
12,Skoda,Scala,hatchback 2,Skoda Scala,hatchback,2
13,Skoda,Citigo,hatchback 3,Skoda Citigo,hatchback,3
14,Skoda,Octavia,sedan 3,Skoda Octavia,sedan,3
15,Skoda,Superb,sedan 3,Skoda Superb,sedan,3
16,Skoda,Fabia,kombi 1,Skoda Fabia,kombi,1
17,Skoda,Octavia,kombi 3,Skoda Octavia,kombi,3
18,Skoda,Scala,kombi 2,Skoda Scala,kombi,2
19,Skoda,Kamiq,SUV 2,Skoda Kamiq,SUV,2
20,Skoda,Karoq,SUV 3,Skoda Karoq,SUV,3
21,Skoda,Kodiaq,SUV 4,Skoda Kodiaq,SUV,4
22,Skoda,Kamiq,crossover 2,Skoda Kamiq,crossover,2
23,Skoda,Karoq,crossover 3,Skoda Karoq,crossover,3
24,Skoda,Kodiaq,crossover 4,Skoda Kodiaq,crossover,4
25,Skoda,Octavia,coupe 3,Skoda Octavia,coupe,3
26,Skoda,Enyaq iV,elektryczny 5,Skoda Enyaq iV,elektryczny,5
27,Fiat,500,hatchback 1,Fiat 500,hatchback,1
28,Fiat,Panda,hatchback 1,Fiat Panda,hatchback,1
29,Fiat,Tipo,hatchback 1,Fiat Tipo,hatchback,1
30,Fiat,Tipo,sedan 1,Fiat Tipo,sedan,1
31,Fiat,500L,kombi 2,Fiat 500L,kombi,2
32,Fiat,Doblo,kombi 2,Fiat Doblo,kombi,2
33,Fiat,500L,minivan 2,Fiat 500L,minivan,2
34,Fiat,Talento,minivan 3,Fiat Talento,minivan,3
35,Fiat,500X,SUV 2,Fiat 500X,SUV,2
36,Fiat,Panda,crossover 1,Fiat Panda,crossover,1
37,Fiat,500X,crossover 2,Fiat 500X,crossover,2
38,Fiat,500,cabrio 1,Fiat 500,cabrio,1
39,Fiat,Ducato,dostawczy 4,Fiat Ducato,dostawczy,4
40,Fiat,Talento,dostawczy 3,Fiat Talento,dostawczy,3
41,Fiat,500,elektryczny 1,Fiat 500,elektryczny,1
42,Kia,Ceed,hatchback 2,Kia Ceed,hatchback,2
43,Kia,Picanto,hatchback 1,Kia Picanto,hatchback,1
44,Kia,Stonic,hatchback 2,Kia Stonic,hatchback,2
45,Kia,Rio,hatchback 1,Kia Rio,hatchback,1
46,Kia,Soul,hatchback 5,Kia Soul,hatchback,5
47,Kia,ProCeed,hatchback 4,Kia ProCeed,hatchback,4
48,Kia,Rio,sedan 1,Kia Rio,sedan,1
49,Kia,Stinger,sedan 5,Kia Stinger,sedan,5
50,Kia,Ceed,kombi 2,Kia Ceed,kombi,2
51,Kia,Sorento,kombi 5,Kia Sorento,kombi,5
52,Kia,Sorento,SUV 5,Kia Sorento,SUV,5
53,Kia,Sportage,SUV 3,Kia Sportage,SUV,3
54,Kia,Stonic,crossover 2,Kia Stonic,crossover,2
55,Kia,XCeed,crossover 3,Kia XCeed,crossover,3
56,Kia,Niro,crossover 3,Kia Niro,crossover,3
57,Kia,Soul,crossover 5,Kia Soul,crossover,5
58,Kia,Stinger,coupe 5,Kia Stinger,coupe,5
59,Kia,XCeed,cabrio 3,Kia XCeed,cabrio,3
60,Kia,e-Niro,elektryczny 5,Kia e-Niro,elektryczny,5
61,Kia,e-Soul,elektryczny 4,Kia e-Soul,elektryczny,4
62,Hyundai,i10,hatchback 1,Hyundai i10,hatchback,1
63,Hyundai,i20,hatchback 1,Hyundai i20,hatchback,1
64,Hyundai,i30,hatchback 2,Hyundai i30,hatchback,2
65,Hyundai,Kona,hatchback 2,Hyundai Kona,hatchback,2
66,Hyundai,i40,sedan 3,Hyundai i40,sedan,3
67,Hyundai,i30,kombi 2,Hyundai i30,kombi,2
68,Hyundai,i40,kombi 3,Hyundai i40,kombi,3
69,Hyundai,Santa Fe,SUV 5,Hyundai Santa Fe,SUV,5
70,Hyundai,Tucson,SUV 3,Hyundai Tucson,SUV,3
71,Hyundai,Kona,crossover 2,Hyundai Kona,crossover,2
72,Hyundai,Santa Fe,crossover 5,Hyundai Santa Fe,crossover,5
73,Hyundai,Genesis,coupe 7,Hyundai Genesis,coupe,7
74,Hyundai,Kona,elektryczny 2,Hyundai Kona,elektryczny,2
75,Hyundai,Kona electric,elektryczny 5,Hyundai Kona electric,elektryczny,5
76,Hyundai,IONIQ,elektryczny 3,Hyundai IONIQ,elektryczny,3
